"NSE Symbol","Regd Office City","Market Capitalisation","BSE-Quarterly Average Volume","NSE-Quarterly Average Volume","BSE-Yearly Average Volume","NSE-Yearly Average Volume","BSE Code"
"ZANDUREALT","Kolkata","152.89","","","","","506720"
"ZEAL","New Delhi","153.93","","7.64","","14.88",""
"ZEEL","Mumbai","9581.18","409.18","7705.22","816.94","12456.75","505537"
"ZEELEARN","Mumbai","261.00","88.93","510.42","173.93","841.70","533287"
"ZEEMEDIA","Mumbai","606.67","238.70","2772.00","335.86","3117.19","532794"
"ZENITHCOMP","Navi Mumbai","1.39","","","","","517164"
"ZENITHDRUG","Indore","106.32","","10.12","","26.12",""
"ZENITHEXPO","Kolkata","123.03","0.63","2.37","0.51","1.50","512553"
"ZENITHSTL","Mumbai","116.10","27.59","186.52","61.23","216.27","531845"
"ZENSARTECH","Pune","15999.24","37.29","439.40","57.03","1180.87","504067"
"ZENTEC","Hyderabad","12444.27","44.25","429.61","77.26","616.02","533339"
"ZFCVINDIA","Chennai","24275.76","0.50","11.65","1.24","23.37","533023"
"ZFSTEERING","Vadu Budruk","837.83","1.64","","3.13","","505163"
"ZICOM","Mumbai","7.30","","","","","531404"
"ZIMLAB","Nagpur","345.20","8.37","119.11","29.49","149.97","541400"
"ZODIAC","Ahmedabad","603.59","2.76","12.33","6.71","33.52","543416"
"ZODIACLOTH","Mumbai","250.32","2.12","15.03","4.22","23.97","521163"
"ZODJRDMKJ","Mumbai","52.81","12.48","","15.96","","512587"
"ZOTA","Surat","4698.57","","89.15","","86.75",""
"ZTECH","New Delhi","815.39","","40.71","","28.03",""
"ZUARI","Zuarinagar","1006.87","63.30","557.24","60.44","638.61","534742"
"ZUARIIND","Zuarinagar","941.23","60.88","699.87","22.57","246.98","500780"
"ZYDUSLIFE","Ahmedabad","94208.66","45.57","956.23","48.98","1161.26","532321"
"ZYDUSWELL","Ahmedabad","14150.20","20.53","247.53","7.01","102.95","531335"
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
