"NSE Symbol","Regd Office City","Market Capitalisation","BSE-Quarterly Average Volume","NSE-Quarterly Average Volume","BSE-Yearly Average Volume","NSE-Yearly Average Volume","BSE Code"
"20MICRONS","Vadodara","737.49","10.58","100.34","18.16","155.73","533022"
"21STCENMGM","Chennai","49.58","1.66","5.99","2.02","6.51","526921"
"360ONE","Mumbai","43295.38","31.01","759.53","66.63","1030.35","542772"
"3IINFOLTD","Navi Mumbai","354.02","88.55","589.45","113.89","750.45","532628"
"3MINDIA","Bengaluru","40213.88","0.32","9.26","0.28","6.60","523395"
"3PLAND","Pune","75.60","2.26","12.55","5.46","35.50","516092"
"3RDROCK","Mumbai","145.50","","","","5.20",""
"5PAISA","Thane","957.27","23.84","178.50","10.47","71.22","540776"
"63MOONS","Chennai","3555.65","9.28","117.61","32.18","285.94","526881"
"A2ZINFRA","Gurugram","307.51","44.06","193.26","68.96","354.80","533292"
"AAATECH","Mumbai","117.33","12.82","171.57","6.53","67.05","543671"
"AADHARHFC","Bengaluru","21607.00","22.85","462.71","32.00","673.96","544176"
"AAKAAR","Mumbai","118.84","","32.05","","69.76",""
"AAKASH","Ahmedabad","90.62","","106.61","","289.73",""
"AARADHYA","Dewas","206.56","","81.54","","81.54",""
"AAREYDRUGS","Thane","282.13","5.43","51.17","8.54","44.52","524412"
"AARON","Surat","419.47","","39.38","","29.83",""
"AARTECH","Bhopal","169.72","8.73","59.00","34.48","147.33","542580"
"AARTIDRUGS","Thane","4464.47","14.95","163.50","24.50","305.91","524348"
"AARTIIND","Vapi","14164.73","47.27","577.95","92.42","1575.82","524208"
"AARTIPHARM","Vapi","7641.57","16.88","299.46","29.06","488.70","543748"
"AARTISURF","Dhar","383.25","0.84","4.65","1.33","9.16","543210"
"AARVI","Mumbai","174.56","","60.35","","23.06",""
"AATMAJ","Vadodara","46.44","","7.75","","14.36",""
"AAVAS","Jaipur","12696.38","36.00","185.38","17.61","220.95","541988"
"ABAN","Chennai","221.90","14.38","67.77","18.23","97.15","523204"
"ABB","Bengaluru","110682.92","11.89","244.59","12.24","356.19","500002"
"ABBOTINDIA","Mumbai","62639.12","0.65","8.48","0.52","10.71","500488"
"ABCAPITAL","Veraval","85462.17","669.32","4954.68","459.50","4950.13","540691"
"ABCIL","Palamau Dist","526.66","","","","","500057"
"ABCOTS","Bathinda","930.05","2.93","22.73","2.93","16.63","544522"
"ABDL","Mumbai","17884.67","36.19","503.22","46.00","647.31","544203"
"ABFRL","Mumbai","9546.91","869.07","10037.51","607.43","7078.32","535755"
"ABGHEAVY","Mumbai","78.37","5.41","","6.61","","520155"
"ABGSEC","","","1.40","3.22","0.53","2.45","544211"
"ABHAPOWER","Bilaspur","71.19","","20.66","","56.18",""
"ABHISHEK","Kolhapur","0.01","","","","","532831"
"ABINFRA","Mumbai","1230.95","16.26","202.04","18.12","124.54","544281"
"ABIRLANUVO","Veraval","24595.47","","","","","500303"
"ABLBL","Mumbai","16159.47","104.37","1603.28","140.45","1906.26","544403"
"ABMINTLLTD","New Delhi","47.98","","0.97","","1.42",""
"ABREL","Mumbai","20205.75","7.54","185.32","10.64","204.73","500040"
"ABSLAMC","Mumbai","22244.91","21.37","301.20","19.67","352.10","543374"
"ABSLBANETF","","","1.81","200.68","2.21","351.53","542863"
"ABSLLIQUID","","","1.96","4.58","2.43","7.26","543813"
"ABSLNN50ET","","","2.23","15.10","3.73","19.80","542230"
"ABSLPSE","","","20.03","256.01","35.50","355.76","544218"
"ABSMARINE","Chennai","522.67","","49.97","","55.00",""
"ACC","Ahmedabad","34459.90","14.84","235.31","18.71","344.31","500410"
"ACCELYA","Pune","2017.96","3.95","21.67","4.26","16.92","532268"
"ACCENTMIC","Ahmedabad","673.37","","21.85","","36.94",""
"ACCORD","Vadodara","6.89","","3.25","","4.47",""
"ACCPL","Ahmedabad","61.30","","13.14","","32.82",""
"ACCURACY","Kachahh","99.67","14.68","145.31","14.68","218.14","544598"
"ACE","Palwal","12763.34","46.71","532.54","29.07","350.12","532762"
"ACEINTEG","New Delhi","24.08","","15.89","","22.20",""
"ACI","Chennai","8000.58","12.53","209.99","19.25","352.78","543657"
"ACL","Guntur Dist","651.10","8.72","58.70","6.64","41.36","532141"
"ACLGATI","Mumbai","949.23","27.13","309.42","42.65","406.90","532345"
"ACMESOLAR","Gurugram","16279.89","122.62","1384.63","140.27","1644.43","544283"
"ACTIVEINFR","Nagpur","258.26","","47.71","","22.12",""
"ACUTAAS","Surat","14492.42","16.56","350.10","17.75","365.76","543349"
"ADANIENSOL","Ahmedabad","116314.19","177.48","1943.46","243.39","2799.49","539254"
"ADANIENT","Ahmedabad","267054.34","66.15","1199.95","123.55","1568.19","512599"
"ADANIGREEN","Ahmedabad","174641.85","416.95","3777.85","385.51","4135.18","541450"
"ADANIPORTS","Ahmedabad","310293.16","289.08","2297.66","207.55","3136.21","532921"
"ADANIPOWER","Ahmedabad","295441.52","5523.85","40329.85","1919.61","15263.06","533096"
"ADFFOODS","Nadiad","2462.59","11.02","131.94","23.85","172.17","519183"
"ADITYASPIN","Chittoor","34.57","1.78","","5.86","","521141"
"ADL","Chickballapur","45.10","1.71","9.73","1.05","5.89","543231"
"ADOR","Mumbai","1791.10","2.14","35.94","1.65","22.64","517041"
"ADROITINFO","Hyderabad","64.77","15.23","71.35","16.79","76.31","532172"
"ADSL","Mumbai","959.84","59.58","638.47","52.12","454.84","532875"
"ADVANCE","Jaipur","891.32","156.94","1521.72","156.94","1521.72","544562"
"ADVANIHOTR","Mumbai","537.16","5.45","50.87","8.60","60.87","523269"
"ADVANTA","Ahmedabad","8025.52","","","","","532840"
"ADVENZYMES","Thane","3487.08","48.08","539.06","27.89","345.99","540025"
"AEGISLOG","Vapi","26890.11","51.68","846.37","73.92","1642.51","500003"
"AEGISVOPAK","Vapi","28613.88","30.24","708.38","89.69","1438.85","544407"
"AEROENTER","Mumbai","961.11","14.11","196.15","46.63","428.60","511076"
"AEROFLEX","Navi Mumbai","2324.53","57.59","620.37","200.45","2143.42","543972"
"AERON","Ahmedabad","186.71","","25.13","","53.08",""
"AERONEU","Udaipur","206.78","8.83","34.65","5.28","36.54","543743"
"AESTHETIK","Kolkata","187.70","","30.19","","42.25",""
"AETHER","Surat","9931.01","19.79","112.02","10.45","135.88","543534"
"AFCONS","Mumbai","16322.28","70.10","816.85","102.14","1526.78","544280"
"AFFLE","New Delhi","24999.04","12.78","263.93","15.57","319.68","542752"
"AFFORDABLE","Pune","272.61","15.81","129.89","6.95","50.59","541402"
"AFIL","Udaipur","314.09","351.69","2875.90","183.51","1517.81","544200"
"AFSL","Mumbai","1018.05","2.12","22.69","7.90","82.39","543712"
"AGARIND","Mumbai","1268.57","3.29","32.35","2.62","26.74","531921"
"AGARWALEYE","Chennai","15949.24","62.24","312.77","52.61","602.60","544350"
"AGARWALFT","Jaipur","38.43","","17.59","","14.31",""
"AGARWALTUF","Jaipur","244.00","","107.35","","109.34",""
"AGI","Kolkata","5204.58","8.26","105.98","17.63","254.88","500187"
"AGIIL","Jalandhar","3219.11","39.19","526.81","15.39","209.59","539042"
"AGLSL","New Delhi","327.30","","","","","540616"
"AGNI","Kolkata","53.92","","43.80","","34.70",""
"AGRITECH","Chhatrapati Sambhajinagar - (Aurangabad)","76.66","0.84","4.93","2.13","17.79","537292"
"AGROPHOS","Indore","85.70","","47.45","","70.08",""
"AGSTRA","Mumbai","53.17","79.73","318.02","130.22","723.69","543451"
"AGUL","New Delhi","38.39","","14.59","","10.07",""
"AHCL","Rajkot","731.90","113.68","743.03","113.68","743.03","544497"
"AHIMSA","Ahmedabad","13.41","","27.00","","26.17",""
"AHLADA","Hyderabad","74.59","","25.10","","39.61",""
"AHLEAST","Kolkata","252.96","0.64","6.59","1.99","11.83","533227"
"AHLUCONT","New Delhi","6050.99","2.61","42.47","6.99","71.15","532811"
"AHLWEST","New Delhi","164.57","","","","","533221"
"AIAENG","Ahmedabad","30916.11","3.50","83.92","1.93","64.22","532683"
"AICHAMP","Kolkata","150.45","1.80","","2.56","","532806"
"AIFL","Mumbai","3.40","","","","","535467"
"AIIL","Mumbai","47542.19","115.36","178.92","65.06","165.57","539177"
"AILIMITED","Ahmedabad","24.45","","7.29","","5.85",""
"AIMCOPEST","Ratnagiri Dist","67.17","3.74","","5.63","","524288"
"AIMTRON","Waghodia","1760.90","","59.17","","65.05",""
"AIRAN","Ahmedabad","278.92","24.37","106.87","32.36","193.18","543811"
"AIROLAM","Dalpur","155.23","","7.53","","25.37",""
"AISL","Thane","99.57","","4.44","","5.18",""
"AJANTPHARM","Mumbai","32088.47","3.19","108.36","3.82","133.59","532331"
"AJAXENGG","Bengaluru","6649.32","16.76","106.92","27.39","299.57","544356"
"AJAXENGG","Chikkaballapur","6649.32","16.76","106.92","27.39","299.57","544356"
"AJMERA","Mumbai","3999.48","7.12","88.03","7.14","95.01","513349"
"AJOONI","Mohali","85.09","","499.72","","667.60",""
"AJRINFRA","Mumbai","64.04","","","","","532959"
"AKANKSHA","Nashik","169.57","","13.48","","23.84",""
"AKASH","Gandhinagar","47.22","","22.98","","16.42",""
"AKG","Gurugram","39.78","","78.52","","119.35",""
"AKG","Gurugram","39.78","","78.52","","119.35",""
"AKI","Kanpur","85.14","13.86","58.90","31.29","93.90","542020"
"AKIKO","Janakpuri","290.67","","30.25","","32.07",""
"AKSHAR","Jamnagar","45.67","939.90","2746.71","767.22","2031.15","541303"
"AKSHARCHEM","Indrad","203.08","0.95","8.18","1.44","10.94","524598"
"AKSHOPTFBR","Bhiwadi","121.05","58.72","270.05","112.63","507.57","532351"
"AKUMS","Delhi","7245.63","12.44","205.74","25.30","325.10","544222"
"AKZOINDIA","Kolkata","14658.52","1.13","36.46","1.46","41.09","500710"
"ALANKIT","New Delhi","313.19","50.96","319.40","95.39","573.41","531082"
"ALBERTDAVD","Kolkata","500.29","0.35","3.00","0.85","7.17","524075"
"ALBK","Kolkata","3445.41","","","","","532480"
"ALCHEM","Delhi","4.08","","","","","526707"
"ALEMBICLTD","Vadodara","2558.83","23.83","264.20","47.56","560.71","506235"
"ALFREDHERB","Kolkata","245.32","0.41","","0.19","","505216"
"ALICON","Pune Dist","1530.93","9.34","57.48","3.82","30.03","531147"
"ALIVUS","Solapur","10938.88","9.69","149.09","6.64","120.75","543322"
"ALKALI","Hyderabad","93.82","7.08","27.49","4.67","21.34","533029"
"ALKEM","Mumbai","67478.30","6.76","167.63","14.53","180.11","539523"
"ALKYLAMINE","Navi Mumbai","9232.00","2.21","30.36","4.91","69.17","506767"
"ALLCARGO","Mumbai","3468.24","235.71","3118.15","310.74","3551.04","532749"
"ALLDIGI","Chennai","1340.97","0.95","10.09","1.31","14.32","532633"
"ALLETEC","Delhi","521.72","","33.97","","36.16",""
"ALLTIME","Mumbai","1946.89","115.41","1069.02","115.41","1069.02","544479"
"ALMONDZ","Mumbai","308.57","19.41","186.21","43.08","282.98","531400"
"ALOKINDS","Silvassa","8604.76","934.00","6017.21","1574.01","11934.58","521070"
"ALPA","Indore Dist","184.48","2.38","15.21","4.87","34.63","532878"
"ALPEXSOLAR","New Delhi","3150.98","","86.50","","95.96",""
"ALPHA","","","","1257.04","","1490.99",""
"ALPHAETF","","","58.74","586.66","125.20","898.37","544007"
"ALPHAGEO","Hyderabad","160.33","1.69","15.25","2.50","19.78","526397"
"ALPINEHOU","Bengaluru","238.00","2.24","","5.78","","526519"
"ALPL30IETF","","","32.54","1254.97","49.36","1444.43","543219"
"ALPSINDUS","Ghaziabad","7.71","7.21","22.00","12.24","26.15","530715"
"ALUWIND","Mumbai","222.38","","19.11","","31.37",""
"AMANTA","Ahmedabad","468.86","46.12","365.89","46.12","365.89","544502"
"AMARJOTHI","Tirupur","99.56","4.37","","5.21","","521097"
"AMBANIORGO","Thane","107.03","","2.20","","6.67",""
"AMBASARABH","Ahmedabad","244.46","81.54","","117.66","","500009"
"AMBER","Rajpura","27536.21","15.84","311.47","20.11","504.40","540902"
"AMBEY","New Delhi","97.29","","21.25","","28.90",""
"AMBICAAGAR","West Godavari Dist","43.27","2.16","13.20","10.58","39.05","532335"
"AMBIKCO","Coimbatore","750.12","0.98","8.70","1.45","11.75","531978"
"AMBUJACEM","Ahmedabad","138100.78","521.08","2576.55","240.61","2763.48","500425"
"AMCL","Rajkot","344.39","","77.82","","77.82",""
"AMDIND","New Delhi","107.54","11.48","71.08","4.66","31.76","532828"
"AMEYA","Pune","73.88","","4.90","","7.23",""
"AMFORGEIND","Mumbai","13.06","6.90","","11.86","","513117"
"AMIABLE","Mumbai","12.05","","3.33","","3.88",""
"AMJLAND","Pune","214.96","5.02","32.23","12.66","102.48","500343"
"AMJUMBO","Ahmedabad","8.19","","11.20","","24.27",""
"AMLSTEEL","Tiruvallur Dist","5.10","","","","",""
"AMNPLST","Guwahati","1141.66","1.46","8.28","2.69","22.00","506248"
"AMRUTANJAN","Chennai","2052.94","1.56","21.30","2.99","24.93","590006"
"AMTL","New Delhi","39.00","5.47","","8.35","","534612"
"ANANDRATHI","Mumbai","25772.51","13.15","275.17","10.77","202.19","543415"
"ANANTRAJ","IMT Manaser","22432.93","418.53","4994.27","241.18","3079.78","515055"
"ANDHRABANK","Hyderabad","2829.32","","","","","532418"
"ANDHRAPAP","Rajahmundry","1523.19","21.95","269.07","21.57","213.84","502330"
"ANDHRAPET","Tanuku","449.75","102.51","","86.71","","500012"
"ANDHRSUGAR","West Godavari Dist","1116.00","25.36","287.83","19.56","207.43","590062"
"ANDREWYU","Kolkata","1243.89","139.75","","170.54","","526173"
"ANGELONE","Mumbai","22573.44","63.67","929.23","77.91","1262.48","543235"
"ANIKINDS","Mumbai","206.76","7.07","35.92","4.66","17.53","519383"
"ANKITMETAL","Kolkata","24.98","14.36","24.36","21.42","39.47","532870"
"ANLON","Mumbai","243.96","","4.53","","9.89",""
"ANMOL","Ludhiana","89.53","12.09","64.20","15.85","94.45","542437"
"ANNAPURNA","Kolkata","542.34","","82.50","","99.69",""
"ANONDITA","New Delhi","1099.03","","203.26","","203.26",""
"ANSALAPI","New Delhi","65.64","11.41","19.61","41.58","72.18","500013"
"ANSALHSG","New Delhi","67.83","57.26","","118.60","","507828"
"ANTELOPUS","Gurgaon","1898.24","3.34","30.80","6.25","64.92","530075"
"ANTFRIBEAR","Mumbai","505.49","","","","","505665"
"ANTGRAPHIC","Kolkata","16.74","","206.36","","380.67","526715"
"ANTHEM","Bengaluru","39113.33","64.25","774.54","179.20","1819.11","544449"
"ANUHPHR","Mumbai","864.93","9.46","60.56","21.46","70.59","506260"
"ANUP","Ahmedabad","4612.95","4.10","47.22","4.99","54.41","542460"
"ANURAS","Surat","12176.08","7.40","326.55","10.10","249.33","543275"
"ANYA","New Delhi","285.00","","50.28","","452.76",""
"ANZEN","Mumbai","","763.54","605.30","786.85","913.92","543655"
"AONELIQUID","","","","28.91","","33.53",""
"AONENIFTY","","","","225.49","","244.01",""
"AONETOTAL","","","","624.82","","574.89",""
"APARINDS","Vadodara","33749.82","6.26","83.96","7.19","134.38","532259"
"APCL","Hyderabad","362.93","1.29","4.84","1.59","15.62","518091"
"APCOTEXIND","Navi Mumbai","2037.25","2.51","33.09","3.30","38.13","523694"
"APEX","Godavari East","738.91","20.43","314.63","11.97","168.27","540692"
"APEXECO","Pune","162.38","","28.83","","65.67",""
"APLAB","Navi Mumbai","222.94","8.48","","11.48","","517096"
"APLAPOLLO","New Delhi","49541.37","16.77","500.22","32.14","608.73","533758"
"APLLTD","Vadodara","17996.34","11.10","117.56","13.74","227.56","533573"
"APOLLO","Hyderabad","8943.12","1483.53","14011.39","875.66","9971.52","540879"
"APOLLOHOSP","Chennai","111924.85","14.30","374.39","12.08","401.04","508869"
"APOLLOPIPE","Delhi","1292.37","9.35","105.52","13.91","123.87","531761"
"APOLLOTYRE","Kochi","32139.28","77.25","1120.87","67.34","1328.46","500877"
"APOLSINHOT","Chennai","332.25","","1.11","","2.25",""
"APPLECREDT","Chennai","","","","","","511339"
"APPLEIND","Mumbai","30.79","22.80","","39.51","","500014"
"APRAMEYA","Ahmedabad","537.88","","22.29","","32.23",""
"APS","Sabarkantha","938.35","","39.94","","74.85",""
"APTECHT","Mumbai","622.95","9.46","98.05","20.66","238.77","532475"
"APTUS","Chennai","14766.97","132.08","2190.33","149.77","1626.02","543335"
"ARABIAN","Thane","76.63","","4.44","","10.31",""
"ARAVALISEC","Gurgaon","6.90","2.56","","3.69","","512344"
"ARCHIDPLY","Udham Singh Nagar","190.31","2.53","15.61","3.07","29.66","532994"
"ARCHIES","Gurugram","67.42","7.81","59.90","9.04","57.06","532212"
"ARCIIL","Bishnupur","105.08","","97.18","","97.18",""
"ARCOTECH","Rewari","24.57","","","","","532914"
"ARE&M","Tirupati","18072.84","44.94","465.66","60.15","580.35","500008"
"ARENTERP","Udaipur","14.64","0.53","1.51","1.84","7.70","526662"
"ARFIN","Gandhinagar Dist","923.76","30.36","435.68","36.24","414.09","539151"
"ARHAM","Raipur","177.66","","23.51","","18.13",""
"ARIES","Mumbai","476.93","15.95","191.65","13.69","144.03","532935"
"ARIHANT","Chennai","1057.95","3.20","","8.88","","531381"
"ARIHANTACA","Mumbai","299.10","","5.37","","7.66",""
"ARIHANTCAP","Indore","1044.56","396.48","3192.91","130.28","1137.71","511605"
"ARIHANTCOT","Ludhiana","","","","","","514122"
"ARIHANTIND","","","","","","","503897"
"ARIHANTSUP","Navi Mumbai","1799.42","2.36","65.97","4.74","69.04","506194"
"ARISINFRA","Mumbai","1372.56","163.06","835.97","190.09","976.42","544419"
"ARISTO","Vadodara Dist","87.14","","4.09","","6.17",""
"ARKADE","Mumbai","3107.08","30.05","710.46","104.41","1679.13","544261"
"ARMANFIN","Ahmedabad","1701.94","2.51","26.75","4.80","37.41","531179"
"AROGRANITE","New Delhi","54.39","15.17","62.73","6.59","31.86","513729"
"ARROWGREEN","Mumbai","875.70","6.33","82.51","6.83","43.17","516064"
"ARROWTEX","Nashik","17.67","","","","","533068"
"ARSHIYA","Raigad","46.90","57.53","214.40","106.61","240.75","506074"
"ARSSBL","Mumbai","3381.83","227.61","2201.25","227.61","2201.25","544530"
"ARSSINFRA","Bhubaneswar","124.70","2.56","6.82","9.03","22.43","533163"
"ARTEDZ","Mumbai","16.01","","","","",""
"ARTEMISMED","Delhi","3386.97","13.82","159.77","12.80","164.67","542919"
"ARTNIRMAN","Ahmedabad","140.40","","4.68","","13.09",""
"ARTSONENGG","Mumbai","603.27","12.47","","11.42","","522134"
"ARUNASUGAR","Chennai","29.46","11.99","","13.94","","500016"
"ARUNAYA","Ahmedabad","37.71","","15.34","","60.11",""
"ARVEE","Ahmedabad","175.30","","0.93","","1.65",""
"ARVIND","Ahmedabad","8130.80","26.38","347.24","29.17","493.20","500101"
"ARVINDFASN","Ahmedabad","7010.56","15.35","283.41","20.44","387.34","542484"
"ARVINDPORT","Jamnagar","99.85","","32.79","","19.24",""
"ARVSMART","Ahmedabad","2840.31","3.37","48.45","5.61","71.10","539301"
"ASAHIINDIA","New Delhi","23478.79","13.57","248.53","19.68","308.51","515030"
"ASAHISONG","Ahmedabad","321.32","1.36","13.80","1.49","15.85","532853"
"ASAL","Pune","828.52","19.22","204.17","9.13","97.08","520119"
"ASALCBR","Indore","2217.91","10.86","107.81","10.56","80.71","507526"
"ASCOM","Surat","135.88","","2.15","","2.40",""
"ASHALOG","Ahmedabad","92.18","","11.08","","18.86",""
"ASHAPURMIN","Mumbai","5929.78","59.47","754.53","53.34","545.04","527001"
"ASHIANA","Kolkata","2844.85","3.26","37.29","7.55","91.55","523716"
"ASHIMASYN","Ahmedabad","393.29","17.35","130.53","47.11","272.66","514286"
"ASHOKA","Nashik","5636.92","91.36","814.45","136.60","1745.54","533271"
"ASHOKALCO","Mumbai","86.62","2.24","","3.95","","524594"
"ASHOKAMET","Ahmedabad","41.67","33.67","109.15","21.35","71.40","540923"
"ASHOKLEY","Chennai","82909.46","904.88","15678.51","489.36","9346.72","500477"
"ASIANENE","Mumbai","1482.48","19.82","266.85","20.00","229.25","530355"
"ASIANHOTNR","New Delhi","627.76","1.50","21.16","1.41","10.24","500023"
"ASIANPAINT","Mumbai","249871.02","57.89","1044.97","68.71","1232.54","500820"
"ASIANTILES","Ahmedabad","1552.65","35.18","415.66","62.38","628.06","532888"
"ASIL","Kolhapur","0.28","","","","","521076"
"ASKAUTOLTD","New Delhi","9183.89","20.03","291.54","16.60","244.55","544022"
"ASLIND","Kolkata","90.42","","4.48","","13.60",""
"ASMS","Hyderabad","398.69","67.59","394.60","116.45","561.58","532694"
"ASOCSTONE","Mumbai","284.19","32.40","","56.39","","502015"
"ASPINWALL","Thiruvananthapuram","200.50","","3.19","","12.59",""
"ASPIRE","Delhi","27.24","","12.92","","18.30",""
"ASSAMFRONT","Tinsukia","60.90","","","","","508134"
"ASTEC","Mumbai","1432.82","14.75","96.26","6.00","58.91","533138"
"ASTERDM","Bengaluru","35607.87","56.11","888.24","74.32","1199.68","540975"
"ASTRAL","Ahmedabad","42084.05","36.66","896.11","28.52","694.27","532830"
"ASTRAMICRO","Hyderabad","9827.76","36.72","541.92","27.49","450.69","532493"
"ASTRAZEN","Bengaluru","22944.00","0.92","20.38","2.07","42.93","506820"
"ASTRON","Ahmedabad","45.10","26.42","135.23","20.06","88.91","540824"
"ATALREAL","Nashik","307.88","111.95","2184.87","95.04","1360.06","543911"
"ATAM","Jalandhar","113.43","8.46","40.35","7.32","40.53","543236"
"ATCENERGY","Mumbai","99.29","","74.10","","97.64",""
"ATCOM","Mumbai","","","","","","527007"
"ATGL","Ahmedabad","67924.27","208.61","2225.79","153.04","1733.57","542066"
"ATHERENERG","Bengaluru","24157.19","525.29","4265.00","335.37","2866.64","544397"
"ATL","Mumbai","808.11","52.14","558.54","41.59","428.35","543954"
"ATLANTAA","Mumbai","363.00","94.11","590.34","29.89","166.95","532759"
"ATLANTAELE","Anand","7644.29","107.13","1001.68","107.13","1001.68","544527"
"ATLASCYCLE","Sonepat","73.30","1.54","7.39","3.55","12.29","505029"
"ATMASTCO","Durg","502.49","","45.08","","59.07",""
"ATNINTER","Kolkata","0.75","","","","","511427"
"ATUL","Ahmedabad","16951.97","2.81","31.79","3.08","59.23","500027"
"ATULAUTO","Rajkot Dist","1263.24","55.34","637.71","21.44","221.95","531795"
"ATVPETRO","Mumbai","64.26","46.86","","58.45","","524488"
"ATVPROJ","Mumbai","159.78","24.70","","55.18","","500028"
"AUBANK","Jaipur","65753.32","248.42","2826.95","242.91","3029.78","540611"
"AURDIS","Pune","135.81","","2.99","","4.01",""
"AURIGROW","Indore","63.93","","3538.27","","8444.37",""
"AURIONPRO","Navi Mumbai","6412.78","12.29","163.90","9.99","105.73","532668"
"AUROIMPEX","Kolkata","58.50","","6.95","","16.66",""
"AUROPHARMA","Hyderabad","66243.33","64.14","1379.26","38.88","1220.12","524804"
"AUROPHARMA","Vishakhapatnam","66243.33","64.14","1379.26","38.88","1220.12","524804"
"AURUM","Navi Mumbai","1314.18","44.00","320.09","17.35","142.02","539289"
"AUSL","Rajkot","81.34","","8.00","","35.85",""
"AUSOMENT","Ahmedabad","140.60","3.01","6.76","1.91","5.88","509009"
"AUTOAXLES","Mysore","2495.14","1.73","8.56","1.04","8.91","505010"
"AUTOCORP","Honda Sattari","1132.51","2.40","","2.15","","505036"
"AUTOIETF","","","111.46","787.46","59.76","694.62","543450"
"AUTOIND","Pune Dist","312.09","11.01","88.98","11.75","88.92","532797"
"AUTOPALIND","Hyderabad","427.66","785.59","","785.59","","517286"
"AVADHSUGAR","Sitapur Dist","835.37","2.72","28.64","3.86","55.79","540649"
"AVALON","Chennai","7072.81","39.09","422.73","45.91","561.55","543896"
"AVALON","Bengaluru","7072.81","39.09","422.73","45.91","561.55","543896"
"AVALON","Chennai","7072.81","39.09","422.73","45.91","561.55","543896"
"AVANTEL","Vishakhapatnam","4299.13","520.88","4468.57","341.98","2313.88","532406"
"AVANTIFEED","Vishakhapatnam","9743.61","72.82","760.77","56.95","1025.40","512573"
"AVG","Delhi","323.67","2.60","24.85","4.12","33.36","543910"
"AVIANSH","Delhi","162.83","","13.18","","18.57",""
"AVL","Patna","6908.56","193.85","890.05","68.38","347.77","540205"
"AVONMORE","Mumbai","492.41","43.94","368.94","116.46","738.14","511589"
"AVON-RE","","0.00","","","173.40","7289.27","750938"
"AVPINFRA","Chennai","393.17","","75.20","","100.22",""
"AVROIND","Ghaziabad","168.05","4.57","18.30","4.92","24.47","543512"
"AVSL","Delhi","63.97","","1.33","","1.65",""
"AVTNPL","Chennai","1096.75","45.61","353.45","20.75","168.45","519105"
"AWFIS","New Delhi","4266.59","44.49","392.40","35.61","311.43","544181"
"AWHCL","Thane","1437.27","6.38","64.35","11.99","110.76","543254"
"AWL","Ahmedabad","35234.29","160.51","2234.86","753.27","2613.39","543458"
"AXISBANK","Ahmedabad","381261.84","210.90","6790.83","273.64","7697.55","532215"
"AXISBNKETF","","","","5.76","","12.13",""
"AXISBPSETF","","","","356.43","","509.12",""
"AXISCADES","Bengaluru","6266.07","17.56","106.34","21.60","137.34","532395"
"AXISCETF","","","0.64","4.52","0.81","4.80","543357"
"AXISGOLD","","","90.39","1790.88","53.48","912.47","533570"
"AXISHCETF","","","0.49","3.84","0.49","4.03","543348"
"AXISILVER","","","","1056.54","","365.08",""
"AXISNIFTY","","","","15.34","","15.05",""
"AXISTECETF","","","0.46","7.10","0.54","14.85","543347"
"AXISVALUE","","","2.82","41.64","1.78","55.54","544382"
"AXITA","Mahesana","290.04","501.42","1532.62","798.84","2709.26","542285"
"AXSENSEX","","","0.08","1.49","0.25","2.42","543853"
"AYMSYNTEX","Mumbai","1030.44","2.23","24.59","5.09","39.74","508933"
"AZAD","Hyderabad","10451.26","19.23","222.93","28.91","291.11","544061"
"BABAFOOD","Ranchi","92.63","","","","",""
"BABAFP","Ranchi","57.14","","9.13","","11.38",""
"BAFNAPH","Chennai","422.86","8.98","20.73","2.95","7.67","532989"
"BAGDIGITAL","New Delhi","260.57","","270.72","","270.72",""
"BAGFILMS","New Delhi","133.79","30.12","154.42","38.33","182.68","532507"
"BAGWATIGAS","Jhunjhunun Dist","0.89","","","","","500051"
"BAHETI","Ahmedabad","579.08","","26.77","","25.41",""
"BAIDFIN","Jaipur","122.95","16.27","92.56","58.20","481.87","511724"
"BAJAJ-AUTO","Pune","243409.31","12.83","402.83","13.39","410.53","532977"
"BAJAJCON","Udaipur","3894.39","74.91","1050.08","59.61","854.80","533229"
"BAJAJELEC","Mumbai","5815.81","60.71","387.32","24.04","162.87","500031"
"BAJAJFINSV","Pune","329764.68","43.14","973.40","64.39","1592.41","532978"
"BAJAJHCARE","Thane Dist","1408.77","19.04","241.61","39.37","412.73","539872"
"BAJAJHFL","Pune","91114.08","566.21","4183.94","946.54","8969.77","544252"
"BAJAJHIND","Kheri District","2719.50","1159.37","7683.01","1226.97","8649.30","500032"
"BAJAJHLDNG","Pune","146138.40","5.57","68.78","3.62","73.76","500490"
"BAJAJINDEF","Mumbai","1161.76","5.83","36.90","14.67","103.57","544364"
"BAJEL","Mumbai","2174.38","74.01","268.29","45.86","310.49","544042"
"BAJFINANCE","Pune","648133.71","395.61","7309.67","177.03","3681.07","500034"
"BAKELHYLAM","Mumbai","11.76","1.06","","1.40","","509423"
"BALAJEE","Dhar","350.75","16.87","221.09","36.96","268.35","544249"
"BALAJIDIST","Chennai","726.53","","","","","500035"
"BALAJIPHOS","Indore","287.58","","31.88","","57.71",""
"BALAJITELE","Mumbai","1523.91","17.62","202.89","27.33","231.47","532382"
"BALAMINES","Solapur","4630.10","2.92","30.38","7.22","91.64","530999"
"BALAXI","Hyderabad","233.31","","121.87","","221.64",""
"BALCO","Kollam","11.62","","3.33","","5.35",""
